CA_number,CA_name,District_number,District_name
1,Rogers Park,1,Far North Side
2,West Ridge,1,Far North Side
3,Uptown,1,Far North Side
4,Lincoln Square,1,Far North Side
5,North Center,3,North Side
6,Lake View,3,North Side
7,Lincoln Park,3,North Side
8,Near North Side,5,Central
9,Edison Park,1,Far North Side
10,Norwood Park,1,Far North Side
11,Jefferson Park,1,Far North Side
12,Forest Glen,1,Far North Side
13,North Park,1,Far North Side
14,Albany Park,1,Far North Side
15,Portage Park,2,Northwest Side
16,Irving Park,2,Northwest Side
17,Dunning,2,Northwest Side
18,Montclaire,2,Northwest Side
19,Belmont Cragin,2,Northwest Side
20,Hermosa,2,Northwest Side
21,Avondale,3,North Side
22,Logan Square,3,North Side
23,Humboldt Park,4,West Side
24,West Town,4,West Side
25,Austin,4,West Side
26,West Garfield Park,4,West Side
27,East Garfield Park,4,West Side
28,Near West Side,4,West Side
29,North Lawndale,4,West Side
30,South Lawndale,4,West Side
31,Lower West Side,4,West Side
32,Loop,5,Central
33,Near South Side,5,Central
34,Armour Square,6,South Side
35,Douglas,6,South Side
36,Oakland,6,South Side
37,Fuller Park,6,South Side
38,Grand Boulevard,6,South Side
39,Kenwood,6,South Side
40,Washington Park,6,South Side
41,Hyde Park,6,South Side
42,Woodlawn,6,South Side
43,South Shore,6,South Side
44,Chatham,9,Far Southeast Side
45,Avalon Park,9,Far Southeast Side
46,South Chicago,9,Far Southeast Side
47,Burnside,9,Far Southeast Side
48,Calumet Heights,9,Far Southeast Side
49,Roseland,9,Far Southeast Side
50,Pullman,9,Far Southeast Side
51,South Deering,9,Far Southeast Side
52,East Side,9,Far Southeast Side
53,West Pullman,9,Far Southeast Side
54,Riverdale,9,Far Southeast Side
55,Hegewisch,9,Far Southeast Side
56,Garfield Ridge,7,Southwest Side
57,Archer Heights,7,Southwest Side
58,Brighton Park,7,Southwest Side
59,McKinley Park,7,Southwest Side
60,Bridgeport,6,South Side
61,New City,7,Southwest Side
62,West Elsdon,7,Southwest Side
63,Gage Park,7,Southwest Side
64,Clearing,7,Southwest Side
65,West Lawn,7,Southwest Side
66,Chicago Lawn,7,Southwest Side
67,West Englewood,7,Southwest Side
68,Englewood,7,Southwest Side
69,Greater Grand Crossing,6,South Side
70,Ashburn,8,Far Southwest Side
71,Auburn Gresham,8,Far Southwest Side
72,Beverly,8,Far Southwest Side
73,Washington Heights,8,Far Southwest Side
74,Mount Greenwood,8,Far Southwest Side
75,Morgan Park,8,Far Southwest Side
76,O'Hare,1,Far North Side
77,Edgewater,1,Far North Side