AREA,MALE,FEMALE,TTOT
Chicago,1308072,1387526,2695598
1,27752,27239,54991
2,35522,36420,71942
3,29512,26850,56362
4,19309,20184,39493
5,15557,16310,31867
6,47000,47368,94368
7,30430,33686,64116
8,37337,43147,80484
9,5367,5820,11187
10,17522,19501,37023
11,12293,13155,25448
12,8934,9574,18508
13,8649,9282,17931
14,26407,25135,51542
15,31337,32787,64124
16,26674,26685,53359
17,20504,21428,41932
18,6592,6834,13426
19,39609,39134,78743
20,12566,12444,25010
21,20119,19143,39262
22,37220,36375,73595
23,27273,29050,56323
24,41643,39789,81432
25,45189,53325,98514
26,8302,9699,18001
27,9535,11032,20567
28,26974,27907,54881
29,16517,19395,35912
30,45395,33893,79288
31,18827,16942,35769
32,14464,14819,29283
33,10159,11231,21390
34,6450,6941,13391
35,8413,9825,18238
36,2440,3478,5918
37,1391,1485,2876
38,9456,12473,21929
39,7615,10226,17841
40,5058,6659,11717
41,12223,13458,25681
42,11567,14416,25983
43,21812,27955,49767
44,13401,17627,31028
45,4430,5755,10185
46,14245,16953,31198
47,1286,1630,2916
48,6136,7676,13812
49,19881,24738,44619
50,3262,4063,7325
51,6938,8171,15109
52,11390,11652,23042
53,13501,16150,29651
54,2664,3818,6482
55,4697,4729,9426
56,16792,17721,34513
57,6773,6620,13393
58,23367,22001,45368
59,7827,7785,15612
60,15986,15991,31977
61,22391,21986,44377
62,9004,9105,18109
63,20477,19417,39894
64,11300,11839,23139
65,16723,16632,33355
66,26695,28933,55628
67,16468,19037,35505
68,13780,16874,30654
69,14333,18269,32602
70,19690,21391,41081
71,21423,27320,48743
72,9558,10476,20034
73,11680,14813,26493
74,9396,9697,19093
75,10208,12336,22544
76,6421,6335,12756
77,29034,27487,56521