AREA,NOT_HISPANIC,HISPANIC,TOTAL
0,0,0,0
1,358391,95313,453704
2,126195,150399,276594
3,225474,77734,303208
4,314730,165957,480687
5,123971,7186,131157
6,243693,14227,257920
7,178319,211228,389547
8,159223,18765,177988
9,186740,38053,224793
